Recent Conditions from SASS
Sassafras Mountain
From the State Climate Office of North Carolina (climate.ncsu.edu)

"Month","Average Air Temperature (2m)","Average Station Pressure (2m)"
2025-04,56.3,897.23
2025-05,59.2,894.48
2025-06,68.7,898.8
2025-07,71.9,899.45
2025-08,64.9,899.18
2025-09,62.9,898.08
2025-10,52.9,897.04
2025-11,47.6,895.88
2025-12,41.6,894.9
2026-01,34.8,893.17
2026-02,39.1,892.92
2026-03,51.7,897.76
2026-04,59.1,899.85
